producto,categoria,precio_base,stock,proveedor,fecha_lanzamiento
Laptop,Electrónica,899.99,15,TechCorp,2023-01-15
Camiseta,Ropa,29.99,50,FashionStore,2023-06-01
Mouse,Electrónica,25.50,100,TechCorp,2023-03-10
Almohada,Hogar,19.99,30,HomeGoods,2023-05-20
Teclado,Electrónica,79.99,40,TechCorp,2023-02-28
Pantalón,Ropa,49.99,35,FashionStore,2023-07-15
Mesa,Hogar,199.99,10,HomeGoods,2023-04-12
Monitor,Electrónica,299.99,25,TechCorp,2023-01-20
Zapatos,Ropa,89.99,20,FashionStore,2023-08-01
Silla,Hogar,149.99,18,HomeGoods,2023-05-05
Tablet,Electrónica,399.99,12,TechCorp,2023-09-10
Chaqueta,Ropa,79.99,28,FashionStore,2023-10-15
Auriculares,Electrónica,59.99,60,TechCorp,2023-04-20
Lámpara,Hogar,39.99,45,HomeGoods,2023-06-30
Smartphone,Electrónica,599.99,8,TechCorp,2023-11-01
Vestido,Ropa,69.99,22,FashionStore,2023-09-05
Espejo,Hogar,49.99,30,HomeGoods,2023-07-20
Webcam,Electrónica,89.99,35,TechCorp,2023-05-15
Bufanda,Ropa,19.99,80,FashionStore,2023-12-01
Cortinas,Hogar,79.99,25,HomeGoods,2023-08-15
Impresora,Electrónica,199.99,20,TechCorp,2023-03-25
Guantes,Ropa,14.99,60,FashionStore,2023-11-10
Altavoz,Electrónica,129.99,30,TechCorp,2023-07-01
Colchón,Hogar,499.99,5,HomeGoods,2023-02-10
Smartwatch,Electrónica,249.99,15,TechCorp,2023-10-01
Sudadera,Ropa,59.99,40,FashionStore,2023-09-20
Alfombra,Hogar,89.99,20,HomeGoods,2023-08-25
Router,Electrónica,79.99,50,TechCorp,2023-06-15
Gorra,Ropa,24.99,70,FashionStore,2023-11-20
Estantería,Hogar,149.99,12,HomeGoods,2023-09-15